id,title_no,par_id,source
932235,NA10C/118,4825973,LINZ
932236,NA10C/1180,5060532,LINZ
932237,NA10C/1181,5112350,LINZ
932238,NA10C/1182,4712051,LINZ
932239,NA10C/1183,5041580,LINZ
932240,NA10C/1184,4712064,LINZ
932241,NA10C/1185,4825111,LINZ
932242,NA10C/1186,4840512,LINZ
932243,NA10C/1187,5097850,LINZ
932244,NA10C/1189,4956981,LINZ
932245,NA10C/119,4738656,LINZ
932246,NA10C/1190,4840844,LINZ
932247,NA10C/1191,4944894,LINZ
932248,NA10C/1193,5095211,LINZ
932249,NA10C/1194,4711062,LINZ
932250,NA10C/1195,5104964,LINZ
932251,NA10C/1196,4848982,LINZ
932253,NA10C/1199,5073735,LINZ
932254,NA10C/1200,4823788,LINZ
932255,NA10C/1201,5135910,LINZ
932256,NA10C/1202,4741206,LINZ
932257,NA10C/1203,4924977,LINZ
932258,NA10C/1204,5073467,LINZ
932259,NA10C/1205,5202330,LINZ
932260,NA10C/1206,4958095,LINZ
932261,NA10C/1207,4723524,LINZ
932262,NA10C/1208,4820658,LINZ
932263,NA10C/1209,4996499,LINZ
932264,NA10C/121,4995302,LINZ
932265,NA10C/1210,4871230,LINZ
932266,NA10C/1212,5083516,LINZ
932267,NA10C/1213,4743977,LINZ
932268,NA10C/1215,4825481,LINZ
932269,NA10C/1216,4875752,LINZ
932270,NA10C/1217,4840068,LINZ
932271,NA10C/1218,5080245,LINZ
932272,NA10C/1219,4803763,LINZ
932274,NA10C/1220,4931949,LINZ
932275,NA10C/1221,5084080,LINZ
932276,NA10C/1223,4803762,LINZ
932277,NA10C/1225,4709074,LINZ
932278,NA10C/1226,5189597,LINZ
932279,NA10C/1227,4827409,LINZ
932280,NA10C/1228,4854740,LINZ
932281,NA10C/1229,4871206,LINZ
932282,NA10C/123,4738649,LINZ
932283,NA10C/1230,4931946,LINZ
932284,NA10C/1231,4745385,LINZ
932285,NA10C/1232,5189600,LINZ
932286,NA10C/1233,5084757,LINZ
932287,NA10C/1234,4803776,LINZ
932288,NA10C/1236,4931950,LINZ
932289,NA10C/1237,4989318,LINZ
932290,NA10C/1238,4727124,LINZ
932291,NA10C/124,4995288,LINZ
932292,NA10C/1240,4826419,LINZ
932294,NA10C/1243,5149607,LINZ
932296,NA10C/1248,4711240,LINZ
932297,NA10C/1249,4706833,LINZ
932298,NA10C/125,4866331,LINZ
932299,NA10C/1250,4743926,LINZ
932300,NA10C/1251,4983375,LINZ
932301,NA10C/1252,4955388,LINZ
932302,NA10C/1253,5089682,LINZ
932303,NA10C/1254,4789356,LINZ
932304,NA10C/1256,4889081,LINZ
932305,NA10C/1257,4995143,LINZ
932306,NA10C/1259,5164613,LINZ
932307,NA10C/1259,5164617,LINZ
932308,NA10C/126,5123603,LINZ
932309,NA10C/1260,4860241,LINZ
932310,NA10C/1261,5161268,LINZ
932311,NA10C/1262,5024949,LINZ
932312,NA10C/1263,5141388,LINZ
932313,NA10C/1264,4768295,LINZ
932314,NA10C/1265,5013099,LINZ
932315,NA10C/1266,4755526,LINZ
932316,NA10C/1267,4767434,LINZ
932317,NA10C/1268,4876366,LINZ
932318,NA10C/1269,5023927,LINZ
932319,NA10C/127,4994476,LINZ
932320,NA10C/1270,5004864,LINZ
932321,NA10C/1272,4895369,LINZ
932322,NA10C/1273,5188916,LINZ
932323,NA10C/1274,4803074,LINZ
932324,NA10C/1275,4691221,LINZ
932325,NA10C/1276,5016541,LINZ
932327,NA10C/1278,4759377,LINZ
932328,NA10C/1279,5145513,LINZ
932329,NA10C/128,4737754,LINZ
932330,NA10C/1280,5077050,LINZ
932331,NA10C/1281,4803073,LINZ
932332,NA10C/1284,4948248,LINZ
932334,NA10C/1286,4733376,LINZ
932335,NA10C/1287,4748194,LINZ
932336,NA10C/1288,4767413,LINZ
932337,NA10C/1289,4895281,LINZ
932338,NA10C/129,5049291,LINZ
932339,NA10C/1290,4751457,LINZ
932340,NA10C/1291,5008160,LINZ
932341,NA10C/1292,4986218,LINZ
932342,NA10C/1293,4735239,LINZ
932343,NA10C/1294,4863246,LINZ
932344,NA10C/1295,5158010,LINZ
932345,NA10C/1296,5033236,LINZ
932346,NA10C/1297,5148355,LINZ
932347,NA10C/1298,5055060,LINZ
932349,NA10C/1303,4959939,LINZ
932350,NA10C/1304,4760149,LINZ
932351,NA10C/1307,5141602,LINZ
932352,NA10C/1308,5063821,LINZ
932353,NA10C/131,4859053,LINZ
932354,NA10C/1313,4900437,LINZ
932355,NA10C/1314,4774760,LINZ
932356,NA10C/1315,5049477,LINZ
932357,NA10C/1316,4902190,LINZ
932358,NA10C/1317,4903712,LINZ
932359,NA10C/1318,4901880,LINZ
932360,NA10C/1319,5030894,LINZ
932361,NA10C/132,4740994,LINZ
932362,NA10C/1320,4902585,LINZ
932364,NA10C/1322,4774485,LINZ
932365,NA10C/1323,4902856,LINZ
932366,NA10C/1324,4904267,LINZ
932367,NA10C/1326,5141139,LINZ
932368,NA10C/1327,4776137,LINZ
932369,NA10C/1328,5161934,LINZ
932370,NA10C/1329,4904268,LINZ
932371,NA10C/133,5008321,LINZ
932372,NA10C/1330,5161933,LINZ
932373,NA10C/1331,5077969,LINZ
932375,NA10C/1333,5165162,LINZ
932376,NA10C/134,5178552,LINZ
932377,NA10C/1346,4776864,LINZ
932378,NA10C/1347,5043616,LINZ
932379,NA10C/135,5081963,LINZ
932380,NA10C/136,4990480,LINZ
932381,NA10C/1362,5015962,LINZ
932382,NA10C/1363,5163993,LINZ
932383,NA10C/1364,5035788,LINZ
932384,NA10C/1367,4707177,LINZ
932385,NA10C/1369,5187407,LINZ
932386,NA10C/137,5049289,LINZ
932387,NA10C/1370,4906790,LINZ
932388,NA10C/1371,4903414,LINZ
932389,NA10C/1378,4770180,LINZ
932390,NA10C/1379,5139262,LINZ
932391,NA10C/138,4696186,LINZ
932392,NA10C/1380,5139263,LINZ
932393,NA10C/1381,5137870,LINZ
932394,NA10C/1382,5170436,LINZ
932395,NA10C/1389,4750047,LINZ
932396,NA10C/139,5080530,LINZ
932397,NA10C/1390,5017156,LINZ
932398,NA10C/1391,4746075,LINZ
932399,NA10C/1392,4819988,LINZ
932400,NA10C/1393,5045341,LINZ
932401,NA10C/1394,4775509,LINZ
932402,NA10C/1395,5090151,LINZ
932403,NA10C/1396,5174601,LINZ
932404,NA10C/1397,4906617,LINZ
932405,NA10C/1398,4775400,LINZ
932406,NA10C/1399,5032134,LINZ
932407,NA10C/14,4849664,LINZ
932408,NA10C/140,5178551,LINZ
932409,NA10C/1400,5039842,LINZ
932410,NA10C/1401,5007080,LINZ
932411,NA10C/1402,4920416,LINZ
932412,NA10C/1403,5170565,LINZ
932413,NA10C/1404,4788720,LINZ
932414,NA10C/1405,4792533,LINZ
932415,NA10C/1406,4788020,LINZ
932416,NA10C/1407,5008131,LINZ
932417,NA10C/1408,5006714,LINZ
932418,NA10C/1409,5136118,LINZ
932419,NA10C/141,5081996,LINZ
932420,NA10C/1410,5140614,LINZ
932421,NA10C/1412,4876019,LINZ
932422,NA10C/1413,5134788,LINZ
932423,NA10C/1414,5133606,LINZ
932424,NA10C/1415,4747949,LINZ
932425,NA10C/1416,5004624,LINZ
932428,NA10C/142,5049288,LINZ
932429,NA10C/1421,4786958,LINZ
932430,NA10C/1422,5004458,LINZ
932432,NA10C/1424,5048942,LINZ
932433,NA10C/1425,5004454,LINZ
932434,NA10C/1426,5132024,LINZ
932435,NA10C/1427,4745973,LINZ
932436,NA10C/1428,4749090,LINZ
932437,NA10C/1429,5133478,LINZ
932438,NA10C/143,4952554,LINZ
932439,NA10C/1430,4749744,LINZ
932440,NA10C/1431,4748061,LINZ
932441,NA10C/1432,5006226,LINZ
932442,NA10C/1434,4876021,LINZ
932443,NA10C/1435,4877938,LINZ
932444,NA10C/1436,4748015,LINZ
932445,NA10C/1439,4749654,LINZ
932446,NA10C/144,4693606,LINZ
932447,NA10C/1440,4877824,LINZ
932448,NA10C/1441,5003875,LINZ
932449,NA10C/1442,4876573,LINZ
932450,NA10C/1443,4862878,LINZ
932451,NA10C/1444,5093689,LINZ
932452,NA10C/1445,4798454,LINZ
932453,NA10C/1447,4858474,LINZ
932454,NA10C/1448,5125416,LINZ
932455,NA10C/145,4920842,LINZ
932456,NA10C/1450,5048771,LINZ
932457,NA10C/1451,4769082,LINZ
932459,NA10C/1454,4817604,LINZ
932460,NA10C/1455,5044015,LINZ
932461,NA10C/1456,4783966,LINZ
932462,NA10C/1458,4842550,LINZ
932463,NA10C/1459,5137473,LINZ
932464,NA10C/146,4693420,LINZ
932465,NA10C/1460,4837917,LINZ
932466,NA10C/1461,4706100,LINZ
932467,NA10C/1462,4898334,LINZ
932468,NA10C/1463,4769449,LINZ
